block_index,mode,lam,winner_id,block_time_ticks,fork,n_competing,f_winner,f_reference,f_optimum_est,total_hash_attempts,total_aco_iterations,p0,label
27,sha_pow,0.0,2,27,False,1,4.24734620668268,4.24734620668268,4.24734620668268,10649.603451983008,0.0,0.0001617777777777778,sha_pow
28,sha_pow,0.0,7,16,True,2,4.106725578911307,4.106725578911307,4.106725578911307,6465.830667275415,0.0,0.0001617777777777778,sha_pow
29,sha_pow,0.0,16,2,False,1,4.333344952237331,4.333344952237331,4.333344952237331,1141.0289412838965,0.0,0.00015746370370370373,sha_pow
30,sha_pow,0.0,12,22,False,1,4.461029968783464,4.461029968783464,4.461029968783464,8747.888549843206,0.0,0.00015746370370370373,sha_pow
31,sha_pow,0.0,14,20,False,1,4.865275881007595,4.865275881007595,4.865275881007595,7987.202588987282,0.0,0.00015746370370370373,sha_pow
32,sha_pow,0.0,16,3,False,1,3.3951469093099984,3.3951469093099984,3.3951469093099984,1521.3719217118621,0.0,0.00015746370370370373,sha_pow
33,sha_pow,0.0,2,13,True,2,4.034473371582388,4.034473371582388,4.034473371582388,4944.458745563547,0.0,0.00015746370370370373,sha_pow
34,sha_pow,0.0,14,3,False,1,4.289004629442061,4.289004629442061,4.289004629442061,1521.371921711862,0.0,0.00015746370370370373,sha_pow
35,sha_pow,0.0,7,5,False,1,3.4640333453253374,3.4640333453253374,3.4640333453253374,2282.0578825677926,0.0,0.00015746370370370373,sha_pow
36,sha_pow,0.0,16,29,False,1,4.709566139361455,4.709566139361455,4.709566139361455,11410.289412838929,0.0,0.00015746370370370373,sha_pow
37,sha_pow,0.0,14,2,False,1,5.358240614291031,5.358240614291031,5.358240614291031,1141.028941283896,0.0,0.00015746370370370373,sha_pow
38,sha_pow,0.0,24,6,False,1,4.129310516112541,4.129310516112541,4.129310516112541,2662.400862995757,0.0,0.00015746370370370373,sha_pow
39,sha_pow,0.0,0,15,False,1,4.905627857946188,4.905627857946188,4.905627857946188,6085.487686847449,0.0,0.0001238714469135803,sha_pow
0,pure_poao,0.0,14,1,True,12,4.611312084961547,4.261220393619304,4.261220393619304,0.0,39.99999999999999,0.0002,pure_poao
1,pure_poao,0.0,24,1,True,15,4.825418936984946,4.5790444164472195,4.5790444164472195,0.0,40.00000000000001,0.0002,pure_poao
2,pure_poao,0.0,14,1,True,10,4.1670188997232795,3.988883322178365,3.988883322178365,0.0,39.999999999999986,0.0002,pure_poao
3,pure_poao,0.0,1,2,True,16,4.218163844101184,4.313397711476935,4.313397711476935,0.0,40.00000000000001,0.0002,pure_poao
