label,mode,lambda,n_blocks,fork_rate,mean_block_time,block_time_cv,gini_rewards,gini_hashrate,gini_excess,strategic_hashrate_share,strategic_reward_share,strategic_advantage,total_hash_attempts,total_aco_iterations,total_energy_proxy,useful_improvement_total,useful_improvement_per_joule,mean_convergence_ratio
sha_pow,sha_pow,0.0,40,0.175,13.35,0.847052774113975,0.6416666666666667,0.3706623817408365,0.27100428492583023,0.18261613778836164,0.15,0.8213950958367037,217286.92433324072,0.0,217286.92433324072,0.0,0.0,1.0
pure_poao,pure_poao,0.0,40,1.0,1.75,0.25058800551629407,0.6549999999999999,0.3706623817408365,0.2843376182591634,0.18261613778836164,0.075,0.41069754791835184,0.0,1599.9999999999998,1599.9999999999998,5.964686617037876,0.0037279291356486733,0.9819591591679654
hybrid(lambda=0.5),hybrid,0.5,40,0.075,17.15,0.6680367873953869,0.7516666666666667,0.3706623817408365,0.3810042849258302,0.18261613778836164,0.25,1.3689918263945062,135705.06522601662,5061.0,140766.06522601662,12.650902340213067,8.987181903465541e-05,0.9396449627150133
hybrid(lambda=1.0),hybrid,1.0,40,0.075,17.55,0.6613501812143868,0.735,0.3706623817408365,0.3643376182591635,0.18261613778836164,0.225,1.2320926437550557,139685.73305500508,5173.0,144858.73305500508,12.256264126203693,8.460838962018121e-05,0.9421167500668574
hybrid(lambda=3.0),hybrid,3.0,40,0.05,17.225,0.6807871537379947,0.7316666666666667,0.3706623817408365,0.3610042849258302,0.18261613778836164,0.25,1.3689918263945062,138880.46457852045,5068.0,143948.46457852045,13.478635364891996,9.363514508027088e-05,0.9260752226905502
hybrid(lambda=10.0),hybrid,10.0,40,0.125,16.875,0.7193179484751913,0.81,0.3706623817408365,0.43933761825916356,0.18261613778836164,0.25,1.3689918263945062,135776.57612763683,4991.000000000001,140767.57612763683,14.151168353486725,0.00010052860710378057,0.9184291056565721
