mode,lambda,n_blocks,fork_rate,mean_block_time,block_time_cv,gini_rewards,gini_hashrate,gini_excess,strategic_hashrate_share,strategic_reward_share,strategic_advantage,total_hash_attempts,total_aco_iterations,total_energy_proxy,useful_improvement_total,useful_improvement_per_joule,mean_convergence_ratio,t_opt_frac,search_fraction,condition
sha_pow,0.0,20,0.1,16.7,0.600721789854065,0.6849999999999999,0.3976858991409906,0.2873141008590093,0.24927706019420506,0.1,0.4011600582985562,139999.9999999998,0.0,139999.9999999998,0.0,0.0,1.0,1.1,0.0,sha_pow
pure_poao,0.0,20,1.0,1.65,0.29658211207854124,0.645,0.3976858991409906,0.2473141008590094,0.24927706019420506,0.15,0.6017400874478342,0.0,800.0,1336880.0,5.474911103724461,4.095289856774325e-06,0.9506008490438456,1.1,1.0,pure_poao
hybrid,3.0,20,0.1,14.7,0.43648042406666704,0.525,0.3976858991409906,0.1273141008590094,0.24927706019420506,0.15,0.6017400874478342,62791.77915067931,2177.0000000000023,3700776.4791506827,5.582165333054814,1.5083767864672292e-06,0.9335708364117256,1.1,0.35,hybrid(sf=0.35)
hybrid,3.0,20,0.05,22.7,0.37600772264011195,0.54,0.3976858991409906,0.14231410085900942,0.24927706019420506,0.15,0.6017400874478342,67686.91700625732,5579.999999999991,9392424.917006243,5.260136157686283,5.600402669349107e-07,0.9314209294365796,1.1,0.6,hybrid(sf=0.6)
hybrid,3.0,20,0.0,23.1,0.4731567232019298,0.6849999999999999,0.3976858991409906,0.2873141008590093,0.24927706019420506,0.15,0.6017400874478342,26709.620823177193,7973.00000000001,13350389.920823192,8.085108972452765,6.05608451918102e-07,0.8938733068364136,1.1,0.85,hybrid(sf=0.85)
sha_pow,0.0,20,0.1,16.7,0.600721789854065,0.6849999999999999,0.3976858991409906,0.2873141008590093,0.24927706019420506,0.1,0.4011600582985562,139999.9999999998,0.0,139999.9999999998,0.0,0.0,1.0,1.2,0.0,sha_pow
pure_poao,0.0,20,1.0,1.75,0.25386380475389675,0.585,0.3976858991409906,0.18731410085900935,0.24927706019420506,0.15,0.6017400874478342,0.0,800.0,1336880.0,4.108481322878611,3.073186316556917e-06,0.9661795494684207,1.2,1.0,pure_poao
hybrid,3.0,20,0.15,14.4,0.5390456153597731,0.6849999999999999,0.3976858991409906,0.2873141008590093,0.24927706019420506,0.35,1.4040602040449466,66331.14246495174,2149.0000000000027,3657525.042464956,7.214425186100058,1.972488254308154e-06,0.924053659217917,1.2,0.35,hybrid(sf=0.35)
hybrid,3.0,20,0.0,20.9,0.45202684644719204,0.63,0.3976858991409906,0.2323141008590094,0.24927706019420506,0.2,0.8023201165971124,64393.53795090689,5159.999999999993,8687269.537950894,9.104548842167333,1.0480334243565861e-06,0.8904736051711607,1.2,0.6,hybrid(sf=0.6)
hybrid,3.0,20,0.0,25.7,0.26028589041994477,0.655,0.3976858991409906,0.2573141008590094,0.24927706019420506,0.1,0.4011600582985562,30214.505493015462,8857.00000000001,14831147.20549303,9.79763811502399,6.606122897489162e-07,0.8803149538722584,1.2,0.85,hybrid(sf=0.85)
